class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,confidence,File Name
blurry.complete,0.373988,0.97972875,0.042493518905828455,0.07827903229473396,0.659467,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.0352352105,0.0974946,0.053565869762004226,0.0721925392814082,0.658009,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.8438987499999999,0.76880975,0.049831216822389515,0.08346614399862978,0.647746,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.234946,0.98142975,0.03626600034467547,0.07718300233859782,0.64723,T16L600_W1_GC1_R2_P92_g12_6
complete,0.7431034999999999,0.73136225,0.04860731143562659,0.07541052765363727,0.612647,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.63196775,0.7702645,0.050630359291634425,0.0854372629243236,0.590935,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.0062477335,0.76747025,0.011422441306797117,0.05024230067585301,0.586827,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.392566,0.7659795,0.05010235271920869,0.08458987358425357,0.585968,T16L600_W1_GC1_R2_P92_g12_6
complete,0.39497725,0.7660695,0.048344071249740585,0.08335638394868145,0.57614,T16L600_W1_GC1_R2_P92_g12_6
hair,0.7406345,0.1611385,0.007268485399311245,0.014495311310903241,0.506218,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.01136225975,0.9808475,0.022123656459339718,0.034780138335392334,0.489841,T16L600_W1_GC1_R2_P92_g12_6
blurry.complete,0.74256775,0.7287764999999999,0.050183355906117014,0.07574269018855885,0.458716,T16L600_W1_GC1_R2_P92_g12_6
complete,0.10440812499999999,0.9806440000000001,0.036860305207634954,0.0743919599150338,0.411513,T16L600_W1_GC1_R2_P92_g12_6
hair,0.94035775,0.49309800000000004,0.025276972603537878,0.03390929596733027,0.37146,T16L600_W1_GC1_R2_P92_g12_6
hair,0.114162,0.41802300000000003,0.027698584259849834,0.021353197278159552,0.35149,T16L600_W1_GC1_R2_P92_g12_6
hair,0.786242,0.449279,0.029322080178595826,0.030219042373973444,0.343986,T16L600_W1_GC1_R2_P92_g12_6
hair,0.7049735,0.9430827500000001,0.011187114820184842,0.017728167446185664,0.308466,T16L600_W1_GC1_R2_P92_g12_6
hair,0.709742,0.059733100000000004,0.02008963470076049,0.01985541532403695,0.291638,T16L600_W1_GC1_R2_P92_g12_6
complete,0.595449,0.2746045,0.05685500739600689,0.08317103292012189,0.973971,T16L600_W1_GC1_R2_P93_g49_3
complete,0.423973,0.49849449999999995,0.057126353611971374,0.07339643524041205,0.964314,T16L600_W1_GC1_R2_P93_g49_3
complete,0.3889245,0.27800475,0.05242000023845857,0.08534800131813279,0.957388,T16L600_W1_GC1_R2_P93_g49_3
complete,0.7021029999999999,0.48808975,0.05207933575805284,0.07629717899110032,0.944839,T16L600_W1_GC1_R2_P93_g49_3
complete,0.5556555000000001,0.496664,0.054901004407934134,0.0715430167801163,0.94294,T16L600_W1_GC1_R2_P93_g49_3
complete,0.7776725,0.26304299999999997,0.05704822157613679,0.07353890086206075,0.940326,T16L600_W1_GC1_R2_P93_g49_3
complete,0.5626365,0.78055525,0.052692012990585166,0.07791806162886758,0.931256,T16L600_W1_GC1_R2_P93_g49_3
